##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR292862_1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5102041
Total Bases	250 Mbp
Sequences flagged as poor quality	0
Sequence length	49
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.78225498383882	39.0	38.0	39.0	35.0	39.0
2	37.58777183484021	39.0	37.0	39.0	35.0	39.0
3	37.58654624688433	39.0	37.0	39.0	35.0	39.0
4	37.55924991586701	39.0	37.0	39.0	35.0	39.0
5	37.48417309856977	39.0	37.0	39.0	35.0	39.0
6	37.5380721166294	39.0	37.0	39.0	35.0	39.0
7	37.46880062312318	39.0	37.0	39.0	35.0	39.0
8	37.41177128917624	39.0	37.0	39.0	35.0	39.0
9	37.395079537777136	39.0	37.0	39.0	35.0	39.0
10	37.37987915032435	39.0	37.0	39.0	35.0	39.0
11	37.36157000698348	39.0	37.0	39.0	35.0	39.0
12	37.29537924136635	39.0	37.0	39.0	34.0	39.0
13	37.209093968472615	38.0	37.0	39.0	34.0	39.0
14	37.20939032046195	38.0	37.0	39.0	34.0	39.0
15	37.155138894414996	38.0	37.0	39.0	34.0	39.0
16	37.162290934157525	38.0	37.0	39.0	34.0	39.0
17	37.05820121790476	38.0	37.0	39.0	33.0	39.0
18	36.977250084819	38.0	36.0	39.0	33.0	39.0
19	36.96043387342438	38.0	36.0	39.0	33.0	39.0
20	36.88191686425099	38.0	36.0	39.0	33.0	39.0
21	36.807719106922114	38.0	36.0	39.0	33.0	39.0
22	36.69005639115797	38.0	36.0	39.0	33.0	39.0
23	36.66424887608704	38.0	36.0	39.0	33.0	39.0
24	36.55856411189169	38.0	36.0	39.0	33.0	39.0
25	36.67896337955732	38.0	36.0	39.0	33.0	39.0
26	36.59934602642354	38.0	36.0	39.0	33.0	39.0
27	36.52495383710166	38.0	36.0	39.0	33.0	39.0
28	36.461216011396225	38.0	36.0	39.0	32.0	39.0
29	36.376198466456856	38.0	36.0	39.0	32.0	39.0
30	36.31730909257687	38.0	36.0	39.0	32.0	39.0
31	36.316290088613556	38.0	36.0	39.0	32.0	39.0
32	36.362989242932386	38.0	36.0	39.0	32.0	39.0
33	36.313657612708326	38.0	36.0	39.0	32.0	39.0
34	36.23837479941851	37.0	36.0	39.0	32.0	39.0
35	36.21188755637205	37.0	35.0	39.0	32.0	39.0
36	36.337889287835985	38.0	36.0	39.0	32.0	39.0
37	36.24779965507921	37.0	36.0	39.0	32.0	39.0
38	36.1543276504442	37.0	35.0	39.0	31.0	39.0
39	36.0849861849405	37.0	35.0	39.0	31.0	39.0
40	36.03789973463561	37.0	35.0	39.0	31.0	39.0
41	36.06186739777277	37.0	35.0	39.0	31.0	39.0
42	35.89674328371724	37.0	35.0	39.0	31.0	39.0
43	35.843277425642015	37.0	35.0	39.0	31.0	39.0
44	35.71657675820324	37.0	35.0	39.0	30.0	39.0
45	35.659043704274424	37.0	35.0	39.0	30.0	39.0
46	35.7530415768905	37.0	35.0	39.0	30.0	39.0
47	35.602060626325816	37.0	35.0	39.0	30.0	39.0
48	35.488811830402774	37.0	34.0	39.0	30.0	39.0
49	35.43216430444208	37.0	34.0	39.0	30.0	39.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.14606297971448612
1101	2	0.16028942946531544
1101	3	0.11102053464865236
1101	4	0.16403140001835936
1101	5	0.1504025021847326
1101	6	0.1291739143176187
1101	7	0.12270284720788993
1101	8	0.05464443297913846
1101	9	0.1380060349925074
1101	10	0.15903424995946125
1101	11	0.19412980421667214
1101	12	0.2171064868475696
1101	13	0.22990221956045076
1101	14	0.2303188758578898
1101	15	0.16847367998416019
1101	16	0.2299918355599786
1101	17	0.2714342231458602
1101	18	0.2555131910146855
1101	19	0.22668653158608265
1101	20	0.2904674394010769
1101	21	0.2526759856272207
1101	22	0.20055419924112527
1101	23	0.2510247019382206
1101	24	0.2736380298386649
1101	25	0.25842782797140273
1101	26	0.30811468124399966
1101	27	0.2639014384683378
1101	28	0.27210681549480853
1101	29	0.30839828263246005
1101	30	0.30286580571283395
1101	31	0.2744010323908981
1101	32	0.3241690512345272
1101	33	0.3306980405691604
1101	34	0.3277001810247384
1101	35	0.2867410970996289
1101	36	0.26413306469559217
1101	37	0.3121185659689232
1101	38	0.1861814336695531
1101	39	0.3413677359342131
1101	40	0.3432160322607203
1101	41	0.3327153780496275
1101	42	0.343433851335746
1101	43	0.30526871449815474
1101	44	0.2342999748151655
1101	45	0.37346024938482714
1101	46	0.32987948907384634
1101	47	0.31163901139005645
1101	48	0.27901132003635354
1101	49	0.2936522368308516
1102	1	0.0922621619091899
1102	2	0.0822363499532699
1102	3	0.09335306093139906
1102	4	0.06662711332819526
1102	5	0.0871053020937751
1102	6	0.12019179485297826
1102	7	0.07562960056548462
1102	8	0.06973624189163274
1102	9	0.1333068953076122
1102	10	0.11927670666926105
1102	11	0.10844591502321066
1102	12	0.1586750099248846
1102	13	0.06531849360138864
1102	14	0.11850599176839438
1102	15	0.15295470424656799
1102	16	0.1289524180381676
1102	17	0.1470601990154634
1102	18	0.18364085028311905
1102	19	0.16846377267988544
1102	20	0.2140522445482702
1102	21	0.1606653578540289
1102	22	0.16538988736776616
1102	23	0.1751399783988603
1102	24	0.1938136927120624
1102	25	0.1622591205671995
1102	26	0.18405006477193808
1102	27	0.11884532757706268
1102	28	0.11564599435177314
1102	29	0.14959721269575965
1102	30	0.13922840545640724
1102	31	0.1392178229948513
1102	32	0.18960357660106553
1102	33	0.16072143272688777
1102	34	0.22275163837640122
1102	35	0.135511648388686
1102	36	0.10625397279901705
1102	37	0.11909339917948358
1102	38	0.13586394517762557
1102	39	0.06700577490368431
1102	40	0.18899407705307425
1102	41	0.1493988670859423
1102	42	0.09939978241741443
1102	43	0.21155691345528282
1102	44	0.17471804108546252
1102	45	0.2053125170357859
1102	46	0.16487052717231876
1102	47	0.19034462494830962
1102	48	0.11342671472670673
1102	49	0.1698851208773462
1103	1	0.10263103360679793
1103	2	0.09176213660521171
1103	3	0.10400186584912063
1103	4	0.12134780924719024
1103	5	0.1334853581212485
1103	6	0.12070944906351855
1103	7	0.14055228486574833
1103	8	0.14238298706223418
1103	9	0.11202029648529788
1103	10	0.11811959657317317
1103	11	0.1151818985926667
1103	12	0.11896078257503717
1103	13	0.11002687200839034
1103	14	0.09930975699938926
1103	15	0.14368928522853963
1103	16	0.14545779705082396
1103	17	0.08595185011726869
1103	18	0.19240426710926073
1103	19	0.14831505328538697
1103	20	0.16327057594484273
1103	21	0.19930222816569199
1103	22	0.21168296567924472
1103	23	0.1655649241005932
1103	24	0.19702009710530888
1103	25	0.18972042479749263
1103	26	0.13686828465528578
1103	27	0.15385178890372941
1103	28	0.17509940026799597
1103	29	0.1299337734258046
1103	30	0.18642823661724606
1103	31	0.18628454501359926
1103	32	0.15163662131845967
1103	33	0.1656600679014062
1103	34	0.21265573904729962
1103	35	0.1680259083214537
1103	36	0.1236707734356699
1103	37	0.144287870632823
1103	38	0.15188804431792136
1103	39	0.20197673943341954
1103	40	0.08695098239628862
1103	41	0.20396458644297866
1103	42	0.1909243777447216
1103	43	0.19837860760643622
1103	44	0.2367395036467883
1103	45	0.16095351243676959
1103	46	0.03035277658047164
1103	47	0.2512877825692854
1103	48	0.20478140722272542
1103	49	0.1604897028570207
1104	1	0.038228878805547595
1104	2	0.04884002143262478
1104	3	0.024755226957196896
1104	4	0.046529860281779634
1104	5	0.03754623392529055
1104	6	0.04369173349638089
1104	7	0.03211587140361161
1104	8	0.10423440667932482
1104	9	0.09301766677071299
1104	10	0.054205320738674345
1104	11	0.04741227614142218
1104	12	0.05078573251118712
1104	13	0.07242370635574957
1104	14	0.06377742624766825
1104	15	0.004810694613794908
1104	16	0.07737586916631045
1104	17	0.0860895041871359
1104	18	0.12752495303720934
1104	19	0.08415153442715706
1104	20	0.060672620978103
1104	21	0.09049746512749124
1104	22	0.13763010978013313
1104	23	0.10671463900767719
1104	24	0.058727738933257
1104	25	0.1270385782764265
1104	26	0.10261057143564756
1104	27	0.11294749235185719
1104	28	0.033134081172285335
1104	29	0.09279779528318954
1104	30	0.13059823276410043
1104	31	0.0738606830086539
